"Target","ComputerName","ServiceName","DisplayName","State","StartMode","Timestamp"
"CLIENT1.ryohei.azlab","CLIENT1","WinRM","Windows Remote Management (WS-Management)","Running","Auto","6/3/2026 4:42:30 PM"
"CLIENT1.ryohei.azlab","CLIENT1","W32Time","Windows Time","Running","Manual","6/3/2026 4:42:30 PM"
"CLIENT1.ryohei.azlab","CLIENT1","EventLog","Windows Event Log","Running","Auto","6/3/2026 4:42:30 PM"
"CLIENT1.ryohei.azlab","CLIENT1","LanmanServer","Server","Running","Auto","6/3/2026 4:42:30 PM"
"Lab4Server.ryohei.azlab","LAB4SERVER","WinRM","Windows Remote Management (WS-Management)","Running","Auto","6/3/2026 4:42:32 PM"
"Lab4Server.ryohei.azlab","LAB4SERVER","W32Time","Windows Time","Running","Auto","6/3/2026 4:42:32 PM"
"Lab4Server.ryohei.azlab","LAB4SERVER","EventLog","Windows Event Log","Running","Auto","6/3/2026 4:42:32 PM"
"Lab4Server.ryohei.azlab","LAB4SERVER","LanmanServer","Server","Running","Auto","6/3/2026 4:42:32 PM"
