"Target","ComputerName","EventId","TimeCreated","Provider","Domain","UserName","SourceIp","Workstation","LogonType","Status","SubStatus","CallerComputer"
"DC01-AZlab.ryohei.azlab","DC01-AZLAB","4740","5/29/2026 5:48:03 PM","Microsoft-Windows-Security-Auditing","CLIENT1","lablockout1","","","","","",
"DC01-AZlab.ryohei.azlab","DC01-AZLAB","4776","5/29/2026 5:35:31 PM","Microsoft-Windows-Security-Auditing",,"LAB4SERVER$","","LAB4SERVER","","0x0","",""
"DC01-AZlab.ryohei.azlab","DC01-AZLAB","4776","5/29/2026 5:35:29 PM","Microsoft-Windows-Security-Auditing",,"CLIENT1$","","CLIENT1","","0x0","",""
