"Target","ComputerName","Architecture","DisplayName","DisplayVersion","Publisher","InstallDate","PSComputerName","RunspaceId","PSShowComputerName"
"CLIENT1.ryohei.azlab","CLIENT1","x86","Microsoft Edge","144.0.3719.115","Microsoft Corporation","20260207","CLIENT1.ryohei.azlab","76137980-4555-45d4-9844-95ddcb56e26e","True"
"CLIENT1.ryohei.azlab","CLIENT1","x86","Microsoft Edge WebView2 Runtime","144.0.3719.115","Microsoft Corporation","20260206","CLIENT1.ryohei.azlab","76137980-4555-45d4-9844-95ddcb56e26e","True"
"CLIENT1.ryohei.azlab","CLIENT1","x86","SAKURA Editor 2.4.2.6048 (x86)","2.4.2.6048","SAKURA Editor developers","20260524","CLIENT1.ryohei.azlab","76137980-4555-45d4-9844-95ddcb56e26e","True"
"Lab4Server.ryohei.azlab","LAB4SERVER","x86","Microsoft Edge","147.0.3912.72","Microsoft Corporation","20260419","Lab4Server.ryohei.azlab","5830df09-8226-4bf4-9c75-2709434a559e","True"
"Lab4Server.ryohei.azlab","LAB4SERVER","x86","SAKURA Editor 2.4.2.6048 (x86)","2.4.2.6048","SAKURA Editor developers","20260524","Lab4Server.ryohei.azlab","5830df09-8226-4bf4-9c75-2709434a559e","True"
